gene_name,name,pval,adj_pval,f_statistic,df1,df2,lfc,gene_name
GRK6,row_168,2.6643083286657125e-12,1.6409474996252125e-08,60.04183894510961,1,126.12654786093321,2.273622770535233,GRK6
RBBP6,row_497,1.520867252801662e-10,4.6835107050027185e-07,48.670677322447965,1,126.12654786093321,1.5090297893591926,RBBP6
RNF126,row_2656,7.562379958632196e-10,1.5525566055071898e-06,44.36766090166051,1,126.12654786093321,1.2759108705971078,RNF126
TBX21,row_141,8.635860768176738e-09,1.0637653294240106e-05,38.0512600483317,1,126.12654786093321,1.3502814166178154,TBX21
TPGS1,row_1588,4.205657385253868e-08,4.3171073059630954e-05,34.08316049030828,1,126.12654786093321,2.625663278642657,TPGS1
COTL1,row_387,7.496580053470726e-08,6.5959195070466e-05,32.66108348183121,1,126.12654786093321,1.6329570475574173,COTL1
RNASEK,row_177,1.4429785602785086e-07,7.406087460629446e-05,31.067171943226583,1,126.12654786093321,1.6507330651372047,RNASEK
MAP2K2,row_553,1.0786960535052473e-07,7.406087460629446e-05,31.773114444462365,1,126.12654786093321,2.126014652526262,MAP2K2
NBPF26,row_5470,1.3552587627230724e-07,7.406087460629446e-05,31.219037030212625,1,126.12654786093321,2.9184438363298546,NBPF26
RNASE1,row_2803,1.1059182300102354e-07,7.406087460629446e-05,31.712503287786756,1,126.12654786093321,4.895163628220525,RNASE1
ITGB2-AS1,row_1698,3.3515995282694755e-07,0.00015878847303547463,29.04275102476776,1,126.12654786093321,1.6350411563991751,ITGB2-AS1
PREX1,row_3198,5.56946505632045e-07,0.00021438959551173533,27.837292510901364,1,126.12654786093321,1.0637568709363658,PREX1
TRAT1,row_3415,7.526666599763033e-07,0.0002575374421552251,27.127636439243314,1,126.12654786093321,-1.6655615711020348,TRAT1
PDCD7,row_1276,9.914925714532253e-07,0.00029474646622620914,26.481588736605097,1,126.12654786093321,2.0115523232018218,PDCD7
SERPINH1,row_085,1.1225632089714903e-06,0.0003112810363526313,26.191582871679557,1,126.12654786093321,-2.839951451828936,SERPINH1
MATR3,row_358,1.1624393304287253e-06,0.0003112810363526313,26.11016807934119,1,126.12654786093321,1.835713528603259,MATR3
