gene_name,name,pval,adj_pval,f_statistic,df1,df2,lfc,gene_name
NENF,row_565,1.3153492122685758e-07,0.0008752333658435103,31.818613753949226,1,110.65603492860318,3.835187357148026,NENF
CDC42SE2,row_1516,3.3341616631024243e-07,0.0011092755853141765,29.512777211685393,1,110.65603492860318,-1.659058793780821,CDC42SE2
BBX,row_4120,8.526978172535707e-07,0.0017363099123958085,27.22784759424504,1,110.65603492860318,-2.004630875036398,BBX
RPL23A,row_573,1.0462065829745364e-06,0.0017363099123958085,26.735885997073517,1,110.65603492860318,-1.0512395983942078,RPL23A
RPLP2,row_785,1.3117333637056014e-06,0.0017363099123958085,26.194201078599185,1,110.65603492860318,-0.948322466186083,RPLP2
HIST2H2AB,row_1115,1.5656536631161484e-06,0.0017363099123958085,25.77214329215242,1,110.65603492860318,3.483488079548943,HIST2H2AB
GCHFR,row_3839,4.973354147413316e-06,0.00200166853861545,23.052936292932174,1,110.65603492860318,-2.6507671970748965,GCHFR
RPL13A,row_050,3.2512438587516502e-06,0.00200166853861545,24.04539503817376,1,110.65603492860318,-2.5553938687017927,RPL13A
KLRF1,row_137,3.486707409799024e-06,0.00200166853861545,23.8815343706775,1,110.65603492860318,-1.8652336021843217,KLRF1
RPS29,row_129,3.594065957587193e-06,0.00200166853861545,23.81053761823324,1,110.65603492860318,-1.545310785610739,RPS29
RPL21,row_166,2.2116138477409557e-06,0.00200166853861545,24.95266704683385,1,110.65603492860318,-1.3787703599120071,RPL21
RPL37A,row_218,7.061046072149259e-06,0.00200166853861545,22.241191660587234,1,110.65603492860318,-1.1789633000335022,RPL37A
CASP4,row_342,4.628947317657821e-06,0.00200166853861545,23.219881348701474,1,110.65603492860318,-1.0234744645742018,CASP4
RPL15,row_861,4.762436597058854e-06,0.00200166853861545,23.15371546923865,1,110.65603492860318,-0.7724488728608085,RPL15
TPT1,row_640,6.619460129992499e-06,0.00200166853861545,22.390304804865952,1,110.65603492860318,-0.6972469184960021,TPT1
RPL34,row_187,7.219724215024166e-06,0.00200166853861545,22.18992485973623,1,110.65603492860318,-0.5828666753474063,RPL34
SLC2A3,row_200,4.21611986808211e-06,0.00200166853861545,23.437564640159867,1,110.65603492860318,1.0826680230237484,SLC2A3
TESC,row_388,6.5284670201347795e-06,0.00200166853861545,22.42229156645448,1,110.65603492860318,1.7385460377165507,TESC
HIST1H2AC,row_147,3.2164009740426e-06,0.00200166853861545,24.0706669574268,1,110.65603492860318,1.8369713885100605,HIST1H2AC
RNASEK,row_174,5.951221527416621e-06,0.00200166853861545,22.63646570907443,1,110.65603492860318,2.0247823997513974,RNASEK
TSC22D2,row_689,4.335514648054002e-06,0.00200166853861545,23.37244621882572,1,110.65603492860318,2.0886712761754125,TSC22D2
UBE2V1,row_348,5.922179461316035e-06,0.00200166853861545,22.647794927185675,1,110.65603492860318,2.0906774946643885,UBE2V1
HIST1H2BF,row_692,6.637083130636406e-06,0.00200166853861545,22.38416172455493,1,110.65603492860318,3.063774255752207,HIST1H2BF
AFF3,row_2093,5.680139490963229e-06,0.00200166853861545,22.74448131692855,1,110.65603492860318,4.300389511686933,AFF3
BRD2,row_248,9.389333046984867e-06,0.0024990648837854923,21.585608777614144,1,110.65603492860318,1.092905713366739,BRD2
GZMA,row_3353,1.0277654549466582e-05,0.0026302889758519476,21.37848414813063,1,110.65603492860318,-0.8520785807417388,GZMA
