gene_name,name,pval,adj_pval,f_statistic,df1,df2,lfc,gene_name
NKG7,row_089,5.695141939367777e-15,4.271356454525833e-11,70.20548299162449,1,225.97534048049383,-2.8256481648085,NKG7
BST1,row_1223,6.88026485819223e-14,2.580099321822086e-10,63.83623288398322,1,225.97534048049383,-2.660129420082103,BST1
TNFAIP2,row_1658,1.2938585841076395e-12,3.234646460269099e-09,56.522570176568195,1,225.97534048049383,-1.34860674093949,TNFAIP2
S100A12,row_932,3.5539703076729045e-11,5.330955461509357e-08,48.503801686280106,1,225.97534048049383,-3.6495487642091216,S100A12
RAB27A,row_1450,3.103652778011924e-11,5.330955461509357e-08,48.826791039080476,1,225.97534048049383,-1.923617869264953,RAB27A
STXBP2,row_510,4.444362892766111e-11,5.555453615957638e-08,47.971739356385484,1,225.97534048049383,-0.7925862511015314,STXBP2
S100A9,row_020,6.845270147277493e-11,7.334218014940171e-08,46.947071659957125,1,225.97534048049383,-3.057648211536246,S100A9
ASGR1,row_6802,1.6590925172344486e-10,1.5553992349072956e-07,44.86014378704082,1,225.97534048049383,-1.4518846205928677,ASGR1
CFD,row_434,4.6311965450189263e-10,3.859330454182439e-07,42.46262659992422,1,225.97534048049383,-1.349583977278861,CFD
BCAS2,row_636,1.0139324154558455e-09,7.604493115918842e-07,40.64866228894322,1,225.97534048049383,0.8757636978195333,BCAS2
KLRF1,row_3217,1.8437302718669059e-09,1.0636905414616763e-06,39.2738807033159,1,225.97534048049383,-4.11917408956591,KLRF1
NHSL2,row_3698,1.8291566278131758e-09,1.0636905414616763e-06,39.29207288915521,1,225.97534048049383,-3.594678380271024,NHSL2
TKT,row_5305,4.917143212359333e-09,2.634183863763928e-06,37.03625437089263,1,225.97534048049383,-0.4740362884234846,TKT
CD2,row_517,5.837595645947317e-09,2.9187978229736587e-06,36.64709753818573,1,225.97534048049383,-1.4831605266302805,CD2
CTSW,row_496,7.738245112018405e-09,3.6273023962586273e-06,36.00933290082244,1,225.97534048049383,-1.9908505894795747,CTSW
VCAN,row_111,1.0317807033006736e-08,4.551973691032384e-06,35.360232831020944,1,225.97534048049383,-2.172749855735669,VCAN
RFLNB,row_1916,1.1880138226442837e-08,4.950057594351183e-06,35.042810490151254,1,225.97534048049383,-2.5048326188464265,RFLNB
NFE2,row_978,1.4898166149279876e-08,5.808742433941981e-06,34.53414537070152,1,225.97534048049383,-2.551888921672558,NFE2
ICAM3,row_307,1.5489979823845283e-08,5.808742433941981e-06,34.44672999490853,1,225.97534048049383,-0.5771756648603338,ICAM3
RNASE2,row_095,2.1213660295264804e-08,7.576307248308859e-06,33.74238160285029,1,225.97534048049383,-3.337831738417154,RNASE2
DUSP5,row_222,2.3816949918574142e-08,8.119414744968457e-06,33.48368004752334,1,225.97534048049383,1.4686730132243853,DUSP5
GZMH,row_1399,3.711173953626281e-08,1.2101654196607437e-05,32.49526299582264,1,225.97534048049383,-4.909574532845515,GZMH
MTMR11,row_871,4.153411637231396e-08,1.2979411366348112e-05,32.24510024598146,1,225.97534048049383,-3.2241954563391935,MTMR11
FCN1,row_025,5.8234711694118144e-08,1.7470413508235442e-05,31.4958894045931,1,225.97534048049383,-1.9234196058636372,FCN1
TSPO,row_212,6.167132595942692e-08,1.7583577285956815e-05,31.369046145220523,1,225.97534048049383,-0.6959784412233151,TSPO
RGS2,row_184,6.330087822944454e-08,1.7583577285956815e-05,31.31137648748467,1,225.97534048049383,0.7361295838289935,RGS2
CFP,row_670,8.169443856952754e-08,2.1882438902552016e-05,30.748152367907238,1,225.97534048049383,-0.4632579723643986,CFP
BTN3A2,row_1826,1.4159846897657075e-07,3.662029370083727e-05,29.538927954831788,1,225.97534048049383,-1.143006728699603,BTN3A2
ETS1,row_1616,1.721245160679065e-07,4.1628471967839744e-05,29.111429528099702,1,225.97534048049383,-3.035258298684836,ETS1
NTHL1,row_3036,1.7761481372944958e-07,4.1628471967839744e-05,29.042755735022673,1,225.97534048049383,-0.9166658843650771,NTHL1
FOS,row_066,1.682145529489401e-07,4.1628471967839744e-05,29.161699802401966,1,225.97534048049383,0.9239608010541401,FOS
CLIC3,row_806,1.8655920625724041e-07,4.1675072594172884e-05,28.935345810455367,1,225.97534048049383,-3.5457977052231087,CLIC3
LYZ,row_073,1.8892699576025041e-07,4.1675072594172884e-05,28.90778289277909,1,225.97534048049383,-1.2897699426333433,LYZ
TNNT1,row_1008,2.04221824222266e-07,4.376181947619986e-05,28.737737544595966,1,225.97534048049383,-3.684912520668823,TNNT1
CSTA,row_242,2.6574758748726517e-07,5.386775422039159e-05,28.163566411204485,1,225.97534048049383,-0.9330863569290754,CSTA
SH2D1A,row_2562,2.837934237893623e-07,5.601185995842677e-05,28.02057521803225,1,225.97534048049383,-3.646961560226013,SH2D1A
IGF2BP2,row_1432,2.924255762002273e-07,5.6235687730812944e-05,27.955395372020902,1,225.97534048049383,-1.2641489995369597,IGF2BP2
