gene_name,name,pval,adj_pval,f_statistic,df1,df2,lfc,gene_name
TMEM106C,row_311,7.543586941377029e-28,5.6576902060327715e-24,188.02511250698703,1,143.04981986137807,2.4224110220285455,TMEM106C
HELLS,row_505,1.6269414524905697e-24,4.0673536312264245e-21,154.51478380020473,1,143.04981986137807,2.7763230473902376,HELLS
CDCA5,row_1313,2.36758565982364e-22,3.5513784897354596e-19,134.6296072601959,1,143.04981986137807,5.128477872726714,CDCA5
TPI1,row_3244,9.84783085518911e-22,8.2065257126575925e-19,129.1903626295483,1,143.04981986137807,0.9898153648598357,TPI1
MCM7,row_194,9.264731658544725e-22,8.2065257126575925e-19,129.42104519657025,1,143.04981986137807,3.0532966757358926,MCM7
UHRF1,row_563,7.055474688222988e-21,5.291606016167241e-18,121.85363792515436,1,143.04981986137807,4.937953515893314,UHRF1
GGH,row_1018,2.025430832453938e-20,1.3809755675822304e-17,118.00746425027089,1,143.04981986137807,4.809682437304224,GGH
TUBB,row_040,2.534569875670306e-20,1.5841061722939414e-17,117.19697041943407,1,143.04981986137807,2.4939043934600775,TUBB
CLSPN,row_525,5.314678028349896e-20,3.066160400971094e-17,114.53885902580056,1,143.04981986137807,4.373122303073319,CLSPN
MCM4,row_1163,6.765574349019687e-20,3.6244148298319745e-17,113.6783449897338,1,143.04981986137807,3.487510239788848,MCM4
PCNA,row_154,5.489208983212848e-19,2.42170984553508e-16,106.33666173636112,1,143.04981986137807,3.017358170428334,PCNA
CDC45,row_5224,5.957997647623781e-19,2.482499019843242e-16,106.05366941477708,1,143.04981986137807,6.582413199530474,CDC45
DNAJC9,row_624,2.6268534737523923e-18,9.85070052657147e-16,100.98668416978072,1,143.04981986137807,2.287226782962159,DNAJC9
CHAF1A,row_2637,2.9488830758042817e-18,1.0531725270729579e-15,100.59619837381209,1,143.04981986137807,3.242023618675627,CHAF1A
CDC6,row_2439,3.3849932345333557e-18,1.1539749663181895e-15,100.1312950063279,1,143.04981986137807,6.283440414966074,CDC6
KIF15,row_2358,1.5378378105414287e-17,4.436070607331044e-15,95.08863906046983,1,143.04981986137807,37.403264754674616,KIF15
MYBL2,row_1559,1.9463015839603754e-17,5.4063932887788205e-15,94.31356746998486,1,143.04981986137807,37.94437421247015,MYBL2
CENPM,row_270,2.4641766528616135e-17,6.600473177307893e-15,93.539859500095,1,143.04981986137807,3.4745114068107985,CENPM
