gene_name,name,pval,adj_pval,f_statistic,df1,df2,lfc,gene_name
PI4K2A,row_1411,2.9597510913525886e-13,1.825870448255412e-09,65.13061973389306,1,139.06994717412846,2.872178608667455,PI4K2A
PKN2,row_321,6.673690764675231e-13,2.058499916364075e-09,62.79165713720713,1,139.06994717412846,2.13266831807293,PKN2
RNF213,row_933,1.8960756605365136e-12,2.5222804069014237e-09,59.82888175710304,1,139.06994717412846,1.4755517781532892,RNF213
MACF1,row_187,1.4909603742683694e-12,2.5222804069014237e-09,60.50682184154456,1,139.06994717412846,1.7091045172312829,MACF1
SYNE1,row_193,2.0443186958189526e-12,2.5222804069014237e-09,59.617060936063446,1,139.06994717412846,1.9660806671036442,SYNE1
SPAG9,row_1212,2.6236466118975168e-11,2.3121822783993976e-08,52.57483840500199,1,139.06994717412846,2.120748190980831,SPAG9
TRA2A,row_620,3.143965577254238e-11,2.424390455760174e-08,52.08574490046355,1,139.06994717412846,1.35650981374279,TRA2A
RANBP2,row_311,4.588128476469994e-11,2.830416457134339e-08,51.06818556662101,1,139.06994717412846,1.8405621796866745,RANBP2
CHD3,row_303,4.4154866868855725e-11,2.830416457134339e-08,51.171173204724944,1,139.06994717412846,2.0878742594597504,CHD3
IGF2R,row_622,1.3491040312869838e-10,7.566020699099458e-08,48.19632125771566,1,139.06994717412846,1.9385075307019417,IGF2R
ILF3,row_1382,3.4662136616730794e-10,1.7819226732384357e-07,45.72187175263611,1,139.06994717412846,1.4015889257044916,ILF3
KMT2C,row_660,4.847156258270311e-10,2.3001620736361192e-07,44.85104605667704,1,139.06994717412846,1.6227757227758126,KMT2C
SMCHD1,row_1071,6.569064334151381e-10,2.716952517519337e-07,44.065469143768134,1,139.06994717412846,1.5122042528430155,SMCHD1
MON2,row_1007,7.927564486196802e-10,2.716952517519337e-07,43.58150486349536,1,139.06994717412846,2.010098673483289,MON2
TMEM259,row_255,7.535868626985318e-10,2.716952517519337e-07,43.71182901886733,1,139.06994717412846,2.2590356491414334,TMEM259
INO80D,row_2465,7.026777168204925e-10,2.716952517519337e-07,43.89189082412662,1,139.06994717412846,2.289836607181004,INO80D
BRF1,row_432,7.602828897845935e-10,2.716952517519337e-07,43.68906970194051,1,139.06994717412846,2.420796389551413,BRF1
RERE,row_382,9.99234378832226e-10,3.2443562542189485e-07,42.987454229859715,1,139.06994717412846,2.0936116545905183,RERE
ASXL1,row_1351,1.1645779271224297e-09,3.5921406162091344e-07,42.59563162039402,1,139.06994717412846,2.025052756220089,ASXL1
HUWE1,row_831,1.2816457162059663e-09,3.764986868226003e-07,42.35099613314123,1,139.06994717412846,1.6705683219324703,HUWE1
RPS3A,row_430,1.4075583982772813e-09,3.7753164169445864e-07,42.11200663801708,1,139.06994717412846,-0.6228983919094919,RPS3A
IFRD1,row_514,1.3874941728084077e-09,3.7753164169445864e-07,42.148599045619804,1,139.06994717412846,1.258787918268387,IFRD1
PLCB1,row_441,2.375614596001171e-09,6.10631935113801e-07,40.78350544763941,1,139.06994717412846,2.0475601016605003,PLCB1
NBEAL2,row_412,2.5107257669520918e-09,6.195466902530981e-07,40.643726276088294,1,139.06994717412846,2.6110856665852613,NBEAL2
SPEN,row_2708,2.680256661702804e-09,6.359424363863307e-07,40.47876794053576,1,139.06994717412846,1.8368527426426788,SPEN
ZNF292,row_467,2.855865521295987e-09,6.525123852175906e-07,40.31871052619943,1,139.06994717412846,1.5633693110790547,ZNF292
RPS25,row_370,3.992805763569147e-09,8.797006698377881e-07,39.476107138588006,1,139.06994717412846,-0.6796767242005299,RPS25
PPP1R16B,row_2426,4.239064417660372e-09,9.017513238809253e-07,39.32608667362896,1,139.06994717412846,1.8821606986406538,PPP1R16B
LPGAT1,row_1767,5.681335588553471e-09,1.1592015039765637e-06,38.59402382849908,1,139.06994717412846,1.9832027922651838,LPGAT1
