Sample,GEX,GEX_update,TCR,BCR,gdTCR
C44-LNG-6-SC-2,5891STDY8062349,5891STDY8062349,5891STDY8062333,5891STDY8062341,
C44-LNG-7-SC-2,5891STDY8062350,5891STDY8062350,5891STDY8062334,5891STDY8062342,
C45-LNG-6-SC-2,5891STDY8062351,5891STDY8062351,5891STDY8062335,5891STDY8062343,
C45-LNG-7-SC-2,5891STDY8062352,5891STDY8062352,5891STDY8062336,5891STDY8062344,
C46-LNG-6-SC-2,5891STDY8062353,5891STDY8062353,5891STDY8062337,5891STDY8062345,
C46-LNG-7-SC-2,5891STDY8062354,5891STDY8062354,5891STDY8062338,5891STDY8062346,
C47-LNG-6-SC-2,5891STDY8062355,5891STDY8062355,5891STDY8062339,5891STDY8062347,
C47-LNG-7-SC-2,5891STDY8062356,5891STDY8062356,5891STDY8062340,5891STDY8062348,
15279-LNG-7-SC-1,5891STDY9030806,5891STDY9030806,5891STDY9030811,,
15280-LNG-7-SC-1,5891STDY9030807,5891STDY9030807,5891STDY9030812,,
15167-LNG-6-SC-1,WSSS_F_LNG8713176 (GEX),WSSS_F_LNG8713176,WSSS_F_LNG9306366,,
15167-LNG-7-SC-1,WSSS_F_LNG8713177 (GEX),WSSS_F_LNG8713177,WSSS_F_LNG9306367,,
15168-LNG-6-SC-1,WSSS_F_LNG8713178 (GEX),WSSS_F_LNG8713178,WSSS_F_LNG9306368,,WSSS_F_LNG10211449
15168-LNG-7-SC-1,WSSS_F_LNG8713179 (GEX),WSSS_F_LNG8713179,WSSS_F_LNG9306369,,WSSS_F_LNG10211450
15233-LNG-6-SC-1 T,WSSS_F_LNG8713184,WSSS_F_LNG8713184,WSSS_F_LNG9306370,WSSS_F_LNG9306374,
15233-LNG-7-SC-1 T,WSSS_F_LNG8713185,WSSS_F_LNG8713185,WSSS_F_LNG9306371,WSSS_F_LNG9306375,WSSS_F_LNG10211451
15219-LNG-6-SC-1 T,WSSS_F_LNG8713186,WSSS_F_LNG8713186,WSSS_F_LNG9306372,WSSS_F_LNG9306376,
15219-LNG-7-SC-1 T,WSSS_F_LNG8713187,WSSS_F_LNG8713187,WSSS_F_LNG9306373,WSSS_F_LNG9306377,
15168-LNG-6-SC-2nd-1 T,WSSS_F_LNG8713180 (GEX),WSSS_F_LNG8713180,WSSS_F_LNG9306380,,
15168-LNG-7-SC-2nd-1 T,WSSS_F_LNG8713181 (GEX),WSSS_F_LNG8713181,WSSS_F_LNG9306381,,
FL1,Imm_FLNG8965963,Imm_FLNG8965963,Imm_FLNG8965971,Imm_FLNG8965978,
FL10,Imm_FLNG8966015,Imm_FLNG8966015,Imm_FLNG8966071,,
FL11,Imm_FLNG8966063,Imm_FLNG8966063,Imm_FLNG8966072,Imm_FLNG8966078,
FL12,Imm_FLNG8966016,Imm_FLNG8966016,Imm_FLNG8966073,Imm_FLNG8966079,
FL14,Imm_FLNG8966018,Imm_FLNG8966018,Imm_FLNG8966074,,
FL15,Imm_FLNG8966064,Imm_FLNG8966064,Imm_FLNG8966075,Imm_FLNG8966080,HCA_A_LNG10211354
FL16,CV001_KM9294203 Imm_FLNG8966065,Imm_FLNG8966065,Imm_FLNG8966076,Imm_FLNG8966081,HCA_A_LNG10211353
FL17,Imm_FLNG9347056,Imm_FLNG9347056,Imm_FLNG9347058,,
FL2,Imm_FLNG8965964,Imm_FLNG8965964,Imm_FLNG8965972,Imm_FLNG8965979,
FL3,Imm_FLNG8965965,Imm_FLNG8965965,Imm_FLNG8965973,Imm_FLNG8965980,
FL4,Imm_FLNG8965966,Imm_FLNG8965966,Imm_FLNG8965974,Imm_FLNG8965981,
FL5,Imm_FLNG8965967,Imm_FLNG8965967,Imm_FLNG8965975,,
FL6,Imm_FLNG8965968,Imm_FLNG8965968,Imm_FLNG8965976,Imm_FLNG8965982,HCA_A_LNG10211355
FL7,Imm_FLNG8965969,Imm_FLNG8965969,Imm_FLNG8965977,Imm_FLNG8965983,HCA_A_LNG10211356
FL8,Imm_FLNG8966013,Imm_FLNG8966013,Imm_FLNG8966069,,HCA_A_LNG10211357
FL9,Imm_FLNG8966014,Imm_FLNG8966014,Imm_FLNG8966070,Imm_FLNG8966077,
